lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.20178211071905539,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.2018672516095411,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573604,0.0,[[nan]],[nan]
0.20197903768878156,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
0.20208810164547797,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
0.20236336479523032,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.20240459312571835,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,0.0,[[nan]],[nan]
0.20252240792418597,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,0.0,[[nan]],[nan]
0.20279045260915884,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.2038606273295439,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.2043973670814292,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.20539029767240669,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.20581979301300757,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.2068135275140317,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573648,0.0,[[nan]],[nan]
0.20698515964083974,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573604,0.0,[[nan]],[nan]
0.20702054152481197,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.20771725335153923,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.20799807370846057,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.20837934143501502,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.20905765860224146,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.21093438848871293,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,0.0,[[nan]],[nan]
0.21177216346631034,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,0.0,[[nan]],[nan]
0.2119546110805426,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.2121474075233014,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,0.0,[[nan]],[nan]
0.21227713884074295,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573604,0.0,[[nan]],[nan]
0.21307493439900238,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573613,0.0,[[nan]],[nan]
0.2140922893367202,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,0.0,[[nan]],[nan]
0.2143264028549866,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.003616838154057364,0.0,[[nan]],[nan]
